,Image,Dice_reg,K,Model
256,114041240061582113028394479929792704149_u7xmxu.png,0.8350222809044396,1,affine no kl
257,114041240061582113028394479929792704149_u7xmxu.png,0.825964714590307,1,affine frozen
258,114041240061582113028394479929792704149_u7xmxu.png,0.8532547543724807,3,affine with kl
259,114041240061582113028394479929792704149_u7xmxu.png,0.8543004392358309,3,affine no kl
260,114041240061582113028394479929792704149_u7xmxu.png,0.8442853477778908,3,affine frozen
261,114041240061582113028394479929792704149_u7xmxu.png,0.8532547543724807,5,affine with kl
262,114041240061582113028394479929792704149_u7xmxu.png,0.8592051771343234,5,affine no kl
263,114041240061582113028394479929792704149_u7xmxu.png,0.8442853477778908,5,affine frozen
264,114041240061582113028394479929792704149_u7xmxu.png,0.8532547543724807,7,affine with kl
265,114041240061582113028394479929792704149_u7xmxu.png,0.8592051771343234,7,affine no kl
266,114041240061582113028394479929792704149_u7xmxu.png,0.8442853477778908,7,affine frozen
267,114041240061582113028394479929792704149_u7xmxu.png,0.8532547543724807,9,affine with kl
268,114041240061582113028394479929792704149_u7xmxu.png,0.8592051771343234,9,affine no kl
269,114041240061582113028394479929792704149_u7xmxu.png,0.8442853477778908,9,affine frozen
270,10155709300728342918543955138521808206_f7cj92.png,0.8690298886369021,1,affine with kl
271,10155709300728342918543955138521808206_f7cj92.png,0.8775153702275603,1,affine no kl
272,10155709300728342918543955138521808206_f7cj92.png,0.8660292509187734,1,affine frozen
273,10155709300728342918543955138521808206_f7cj92.png,0.8975940858447008,3,affine with kl
274,10155709300728342918543955138521808206_f7cj92.png,0.8843659918157811,3,affine no kl
275,10155709300728342918543955138521808206_f7cj92.png,0.8783127883937714,3,affine frozen
276,10155709300728342918543955138521808206_f7cj92.png,0.8975940858447008,5,affine with kl
277,10155709300728342918543955138521808206_f7cj92.png,0.8878689772422824,5,affine no kl
278,10155709300728342918543955138521808206_f7cj92.png,0.8989703606713486,5,affine frozen
279,10155709300728342918543955138521808206_f7cj92.png,0.8975940858447008,7,affine with kl
280,10155709300728342918543955138521808206_f7cj92.png,0.8896130412106461,7,affine no kl
281,10155709300728342918543955138521808206_f7cj92.png,0.8989703606713486,7,affine frozen
282,10155709300728342918543955138521808206_f7cj92.png,0.8975940858447008,9,affine with kl
283,10155709300728342918543955138521808206_f7cj92.png,0.8896130412106461,9,affine no kl
284,10155709300728342918543955138521808206_f7cj92.png,0.8989703606713486,9,affine frozen
285,327043651451092435505761971551575640871_3qwimg.png,0.8786504030244668,1,affine with kl
286,327043651451092435505761971551575640871_3qwimg.png,0.8633421253490237,1,affine no kl
287,327043651451092435505761971551575640871_3qwimg.png,0.8663689010248048,1,affine frozen
288,327043651451092435505761971551575640871_3qwimg.png,0.8786504030244668,3,affine with kl
289,327043651451092435505761971551575640871_3qwimg.png,0.8633421253490237,3,affine no kl
290,327043651451092435505761971551575640871_3qwimg.png,0.8748419842031727,3,affine frozen
291,327043651451092435505761971551575640871_3qwimg.png,0.8786504030244668,5,affine with kl
292,327043651451092435505761971551575640871_3qwimg.png,0.8633421253490237,5,affine no kl
293,327043651451092435505761971551575640871_3qwimg.png,0.8748419842031727,5,affine frozen
294,327043651451092435505761971551575640871_3qwimg.png,0.8874278126061579,7,affine with kl
295,327043651451092435505761971551575640871_3qwimg.png,0.8754619774697752,7,affine no kl
296,327043651451092435505761971551575640871_3qwimg.png,0.8748419842031727,7,affine frozen
